"","X","NETWORK","PI","YEAR_MONTH_DAY_TRANSECT","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES"
"364",483,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","BUUN","8","I",NA,0,1,"Invertebrate","Molluscs","Gastropods",NA,"Wavy Whelk","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","keen_quads",NA
"365",484,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CABO","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"366",485,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CABO","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"367",486,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CABO","24","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"368",487,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CABO","32","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"369",488,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CABO","40","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"370",489,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CABO","8","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"371",490,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CAIR","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"372",491,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CAIR","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"373",492,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CAIR","24","I",NA,1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"374",493,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CAIR","32","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"375",494,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CAIR","40","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"376",495,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","CAIR","8","I",NA,1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"377",496,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEAC","0","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"378",497,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEAC","16","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"379",498,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEAC","24","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"380",499,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEAC","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"381",500,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEAC","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"382",501,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEAC","8","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"383",502,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEVI","0","O",NA,2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis","keen_quads",NA
"384",503,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEVI","16","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis","keen_quads",NA
"385",504,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEVI","24","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis","keen_quads",NA
"386",505,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEVI","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis","keen_quads",NA
"387",506,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEVI","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis","keen_quads",NA
"388",507,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","DEVI","8","I",NA,8,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis","keen_quads",NA
"389",508,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HESA","0","O",NA,1,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"390",509,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HESA","16","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"391",510,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HESA","24","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"392",511,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HESA","32","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"393",512,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HESA","40","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"394",513,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HESA","8","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"395",514,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HOAM","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"396",515,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HOAM","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"397",516,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HOAM","24","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"398",517,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HOAM","32","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"399",518,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HOAM","40","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"400",519,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","HOAM","8","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"401",520,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","PHGU","0","O",NA,0,1,"Fish","Chordates","Fish",NA,"Rock gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","keen_quads",NA
"402",521,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","PHGU","16","O",NA,0,1,"Fish","Chordates","Fish",NA,"Rock gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","keen_quads",NA
"403",522,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","PHGU","24","I",NA,0,1,"Fish","Chordates","Fish",NA,"Rock gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","keen_quads",NA
"404",523,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","PHGU","32","O",NA,0,1,"Fish","Chordates","Fish",NA,"Rock gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","keen_quads",NA
"405",524,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","PHGU","40","I",NA,0,1,"Fish","Chordates","Fish",NA,"Rock gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","keen_quads",NA
"406",525,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","PHGU","8","I",NA,1,1,"Fish","Chordates","Fish",NA,"Rock gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","keen_quads",NA
"407",526,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SDS","0","O",NA,34,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"408",527,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SDS","16","O",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"409",528,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SDS","24","I",NA,4,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"410",529,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SDS","32","O",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"411",530,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SDS","40","I",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"412",531,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SDS","8","I",NA,40,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"413",532,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SL","0","O",NA,5,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"414",533,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SL","16","O",NA,3,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"415",534,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SL","24","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"416",535,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SL","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"417",536,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SL","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"418",537,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SL","8","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"419",538,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SLJ","0","O",NA,1,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"420",539,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SLJ","16","O",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"421",540,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SLJ","24","I",NA,2,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"422",541,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SLJ","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"423",542,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SLJ","40","I",NA,2,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"424",543,"KEEN ONE","Byrnes","2014_7_21_Devil's Dance Floor",2014,7,21,"NE Appledore","Devil's Dance Floor","SLJ","8","I",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"425",550,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","AGCL","0","O",NA,2,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"426",551,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","AGCL","16","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"427",552,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","AGCL","24","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"428",553,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","AGCL","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"429",554,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","AGCL","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"430",555,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","AGCL","8","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"431",562,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","ASRU","0","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","keen_quads",NA
"432",563,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","ASRU","16","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","keen_quads",NA
"433",564,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","ASRU","24","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","keen_quads",NA
"434",565,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","ASRU","32","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","keen_quads",NA
"435",566,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","ASRU","40","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","keen_quads",NA
"436",567,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","ASRU","8","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Common Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","keen_quads",NA
"437",574,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CABO","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"438",575,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CABO","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"439",576,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CABO","24","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"440",577,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CABO","32","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"441",578,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CABO","40","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"442",579,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CABO","8","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"443",580,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CAIR","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
"444",581,"KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","CAIR","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","keen_quads",NA
